,p_syn,profit,l_cost,u_cost,is_in_opt_sol
0,1.02,0.04450765839684529,0.03323646614419258,0.05317834583070813,-0.0
1,0.81,0.04258520089683727,0.0023401742048663877,0.0044463309892461365,1.0
2,0.91,0.07621998454531592,0.01945910106606028,0.03113456170569645,1.0
3,0.96,0.047873141836375734,0.03797803780076767,0.06076486048122827,-0.0
4,0.81,0.04483762652698752,0.023204389634620126,0.030165706525006164,1.0
5,0.78,0.04820220824634588,0.0201800383031998,0.03228806128511968,1.0
6,0.83,0.07592639894946845,0.00615491043007046,0.008001383559091598,1.0
7,0.84,0.06115358436729727,0.02454898082508976,0.039278369320143613,1.0
8,0.92,0.060555846351853355,0.038725878687533265,0.0735791695063132,-0.0
9,0.87,0.06501576423933828,0.038553948011210995,0.07325250122130088,-0.0
10,0.89,0.0495615668122725,0.035455641884832294,0.056729027015731674,0.0
11,0.83,0.050806987491421866,0.004579905554554146,0.00595387722092039,1.0
12,0.99,0.061959547167049295,0.03532775578099131,0.06712273598388349,-0.0
13,0.83,0.03132926897033471,0.013474189962169902,0.025600960928122814,0.0
14,0.78,0.040329314626653845,0.004654379995185303,0.007447007992296485,1.0
15,0.89,0.04703232425164748,0.012936133037310673,0.024578652770890278,1.0
16,0.81,0.04255149777228222,0.035872432335929065,0.06815762143826523,-0.0
17,0.77,0.06132584136664156,0.019116374586378593,0.03632111171411932,-0.0
18,0.83,0.04911958881869941,0.0107953458170165,0.020511157052331346,1.0
19,0.86,0.07255430899415634,0.03598708905775653,0.04678321577508349,1.0
20,0.77,0.05805915928869544,0.028443434259017145,0.04550949481442743,1.0
21,0.78,0.05080644067329146,0.02808021077048719,0.053352400463925656,-0.0
22,0.85,0.050233784199154384,0.024814034464805478,0.0471466654831304,1.0
23,0.9,0.06436525209670425,0.019753106371858783,0.031604970194974054,1.0
24,0.74,0.050986651519723376,0.010158101221107123,0.0162529619537714,1.0
25,0.84,0.06249558295594702,0.027826146733020026,0.03617399075292604,1.0
26,0.82,0.03346413576409665,0.008127250471440788,0.015441775895737498,1.0
27,0.93,0.052266267619521654,0.009304660026099558,0.012096058033929425,1.0
28,0.94,0.04348605381893732,0.03165147138481204,0.05064235421569926,-0.0
29,0.85,0.038696021751404006,0.004289850173181588,0.0068637602770905415,1.0
30,0.86,0.056144931975450486,0.03441497602671502,0.055063961642744026,-0.0
31,0.84,0.054243477485427724,0.004975535721344385,0.009453517870554332,1.0
32,0.87,0.057740902276694664,0.011971277976261872,0.015562661369140434,1.0
33,0.95,0.06689636267256283,0.021823128499212318,0.0414639441485034,-0.0
34,0.81,0.07295300973770173,0.008593604049775784,0.016327847694573988,1.0
35,0.82,0.05458865057336764,0.02181502701403508,0.03490404322245613,1.0
36,0.97,0.04597830175675539,0.01788577832549625,0.03398297881844287,1.0
37,0.84,0.053282390845167914,0.03144992081357632,0.050319873301722114,1.0
38,1.0,0.06942303641173615,0.022907276958231335,0.03665164313317014,1.0
39,0.95,0.07253510646488763,0.007850608423561686,0.010205790950630192,1.0
40,0.86,0.0695819680787397,0.002051480346618606,0.003897812658575351,1.0
41,0.83,0.040126078751022906,0.010778585898045315,0.01401216166745891,1.0
42,0.8,0.078403702304428,0.004236369580814923,0.0055072804550594,1.0
43,0.8,0.06112249255641093,0.03447965896597997,0.04482355665577397,-0.0
44,0.95,0.0351948137535753,0.033161078386730346,0.06300604893478766,-0.0
45,0.91,0.06548443499619377,0.03625948793465054,0.06889302707583603,-0.0
46,0.8,0.07780936680296473,0.027051982211607813,0.05139876620205484,-0.0
47,0.63,0.05021254411250247,0.02094432302889936,0.03979421375490878,-0.0
48,0.83,0.06326541572901,0.031976185893725056,0.04156904166184257,0.0
49,1.02,0.046172604994617394,0.03518174328560738,0.06684531224265403,0.0
50,0.79,0.04133010995302927,0.03250017972683108,0.05200028756292972,0.0
51,0.85,0.06509618559969253,0.023062692650498703,0.03690030824079793,1.0
52,0.85,0.03136858082008883,0.01971765434742395,0.037463543260105495,1.0
53,0.94,0.07006863432129543,0.03907170726976352,0.06251473163162163,-0.0
54,0.83,0.0561813899982022,0.0039500042810776525,0.007505008134047539,1.0
55,0.85,0.03587021309096971,0.005217340971052518,0.009912947844999784,1.0
56,0.81,0.036866500130809055,0.025001636857056704,0.032502127914173715,-0.0
57,0.8,0.06188560537785189,0.010124464116855058,0.01923648182202461,1.0
58,0.82,0.07247083196795161,0.011200627897189903,0.021281193004660817,1.0
59,0.84,0.04446518222960568,0.009256876218746027,0.012033939084369836,1.0
60,0.88,0.07741752837241789,0.013564077902101264,0.017633301272731643,1.0
61,0.88,0.03598325761056394,0.004650779457418543,0.006046013294644105,1.0
62,0.84,0.07154076916519916,0.033655395875918884,0.04375201463869455,0.0
63,0.94,0.04997098444809855,0.0025227105388345153,0.004793150023785578,1.0
64,0.93,0.035094728497567736,0.02515763195981003,0.04779950072363906,0.0
